,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31
GP,au,cn,cn,jp,be,be,hu,bh,sa,us,us,nl,it,it,az,mc,sg,es,us,us,mx,ca,br,br,at,at,us,qa,ae,ae,gb
P1,Antonino,Antonino,Thiago,Antonino,Teodoro,Teodoro,Matias Verdugo,Antonino,Marcio Schuchter,Teodoro,Teodoro,,,,,,,,,,,,,,,,,,,,
P2,Teodoro,Gaston,Teodoro,Marcio Schuchter,Erick,Marcio Schuchter,Teodoro,Joaquín,Antonino,Antonino,Antonino,,,,,,,,,,,,,,,,,,,,
P3,Wellington,Marcio Schuchter,Antonino,Jo Caiana,Julian,Iranildo,Thiago,Thiago,Wellington,Hernan,Hernan,,,,,,,,,,,,,,,,,,,,
P4,Marcio Schuchter,Hiran Pelosi,Gaston,Rafael Lemes,Gaston,Danilo,Heliakim,Wellington,Heliakim,Hiran Pelosi,Iranildo,,,,,,,,,,,,,,,,,,,,
P5,Thiago,Aysllan,Rafael Lemes,Hiran Pelosi,Matias Verdugo,Julian,Antonino,Iranildo,Joaquín,Iranildo,Hiran Pelosi,,,,,,,,,,,,,,,,,,,,
P6,Hernan,Matias Verdugo,Hiran Pelosi,Aysllan,Antonino,Wellington,Jo Caiana,Hernan,Aysllan,Ronaldo Lisboa,Wellington,,,,,,,,,,,,,,,,,,,,
P7,Julian,Joaquín,Marcio Schuchter,Matias Verdugo,Thiago,Gaston,Aysllan,Rafael Lemes,Ronaldo Lisboa,Wellington,Julian,,,,,,,,,,,,,,,,,,,,
P8,Jo Caiana,Teodoro,Aysllan,Danilo,Hiran Pelosi,Aysllan,Wellington,Marcio Schuchter,Matias Verdugo,Marcio Schuchter,Ronaldo Lisboa,,,,,,,,,,,,,,,,,,,,
P9,Ronaldo Lisboa,Julian,Julian,Michael Lopes,Marcio Schuchter,Rafael Lemes,Hiran Pelosi,Julian,FTronc,Julian,FTronc,,,,,,,,,,,,,,,,,,,,
P10,Hiran Pelosi,Jo Caiana,Heliakim,Joaquín,Danilo,Ronaldo Lisboa,Marcio Schuchter,Aysllan,Furiouz,Don Pipa,Don Pipa,,,,,,,,,,,,,,,,,,,,
P11,Matias Verdugo,Heliakim,Matias Verdugo,Thiago,Ronaldo Lisboa,Matias Verdugo,Gaston,Ronaldo Lisboa,Don Pipa,Thiago,Adriano Tahariel,,,,,,,,,,,,,,,,,,,,
P12,Rafael Lemes,Leonardo,Jo Caiana,Teodoro,Wellington,Thiago,Joaquín,Matias Verdugo,Rafael Lemes,FTronc,Joaquín,,,,,,,,,,,,,,,,,,,,
P13,Adriano Tahariel,Ronaldo Lisboa,Leonardo,Adriano Tahariel,Joaquín,Leonardo,Ronaldo Lisboa,Danilo,Thiago,Rafael Lemes,Rafael Lemes,,,,,,,,,,,,,,,,,,,,
P14,Iranildo,Thiago,Michael Lopes,Leonardo,Aysllan,Joaquín,Rafael Lemes,Michael Lopes,Jo Caiana,Erick,Marcio Schuchter,,,,,,,,,,,,,,,,,,,,
P15,,Adriano Tahariel,Ronaldo Lisboa,Ronaldo Lisboa,Jo Caiana,Hiran Pelosi,Julian,Erick,Danilo,Joaquín,Jo Caiana,,,,,,,,,,,,,,,,,,,,
P16,,Michael Lopes,Joaquín,,Iranildo,Michael Lopes,Hernan,,cotocosemdedo,Jean,,,,,,,,,,,,,,,,,,,,,
P17,,Rafael Lemes,Iranildo,,Rafael Lemes,Jo Caiana,,,Michael Lopes,Jo Caiana,,,,,,,,,,,,,,,,,,,,,
P18,,Danilo,Adriano Tahariel,,Michael Lopes,Adriano Tahariel,,,Hiran Pelosi,,,,,,,,,,,,,,,,,,,,,,
P19,,,Danilo,,Leonardo,Antonino,,,Teodoro,,,,,,,,,,,,,,,,,,,,,,
P20,,,Andres,,Adriano Tahariel,Erick,,,Adriano Tahariel,,,,,,,,,,,,,,,,,,,,,,
P21,,,,,,,,,Iranildo,,,,,,,,,,,,,,,,,,,,,,
P22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Thiago,Antonino,Antonino,Heliakim,Teodoro,Teodoro,Antonino,Thiago,Thiago,Antonino,Antonino,,,,,,,,,,,,,,,,,,,,
Pole,Antonino,,Antonino,Antonino,Julian,Antonino,Antonino,Antonino,Antonino,,Antonino,,,,,,,,,,,,,,,,,,,,
DOTD,Ronaldo Lisboa,Jo Caiana,Jo Caiana,Danilo,Iranildo,Iranildo,Wellington,Aysllan,Aysllan,,Julian,,,,,,,,,,,,,,,,,,,,
CD,Julian,Leonardo,Leonardo,Antonino,Aysllan,Aysllan,Antonino,Antonino,Jo Caiana,,Teodoro,,,,,,,,,,,,,,,,,,,,
DNF,Erick,Erick,Erick,Heliakim,,,Adriano Tahariel,Andres,,Danilo,Thiago,,,,,,,,,,,,,,,,,,,,
DNF,Gaston,Iranildo,,Erick,,,Danilo,,,Adriano Tahariel,Danilo,,,,,,,,,,,,,,,,,,,,
DNF,Heliakim,Andres,,Iranildo,,,Erick,,,Matias Verdugo,Matias Verdugo,,,,,,,,,,,,,,,,,,,,
DNF,Joaquín,Wellington,,,,,Iranildo,,,,Erick,,,,,,,,,,,,,,,,,,,,
DNF,Leonardo,Hernan,,,,,,,,,Jean,,,,,,,,,,,,,,,,,,,,
DNF,Michael Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Aysllan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Andres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ww,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
